Ma CK,Ten cong ty,CFO TTM (ty VND),LNST TTM (ty VND),CFO/LNST
VSF,Vietnam Southern Food Corp.,3050.125176233,29.636441577,102.9180635032822
TCH,Hoang Huy Investment Financial Services JSC,2266.238369838,194.370742471,11.65935953645967
